USC UpstateMinnesota11-10,11/10/17,"Minnesota -25.9, 92-66 (97%)",66.43606367,92.32326211,77,92,283,32,75.44849135,36.43094031
Eastern KentuckyRice11-10,11/10/17,"Eastern Kentucky -4.9, 79-74 (66%)",79.3067432,74.39482786,73,72,182,320,76.67692814,42.53929007
UMKCWichita St.11-10,11/10/17,"Wichita St. -34.0, 95-61 (99%)",60.99043056,94.97357901,57,109,314,3,75.96348709,40.24148578
Wis.-La CrosseMilwaukee11-10,11/10/17,Milwaukee (100%),33.53037961,102.6298986,73,83,0,197,68.15237976,-44.869622
William & MaryHigh Point11-10,11/10/17,"William & Mary -3.4, 77-73 (61%)",76.668763,73.299985,66,100,173,301,73.46395951,45.6820506
Chicago St.Iowa11-10,11/10/17,"Iowa -28.5, 93-64 (98%)",64.39196022,92.8941424,62,95,332,44,75.66313552,30.44417007
Tennessee St.Kansas11-10,11/10/17,"Kansas -25.1, 87-62 (97%)",61.92128282,87.06628766,56,92,226,9,74.66797311,44.30248297
Iowa St.Missouri11-10,11/10/17,"Missouri -4.1, 79-75 (63%)",75.26791136,79.39698675,59,74,37,53,73.77400101,75.34954931
MITHarvard11-10,11/10/17,Harvard (100%),33.44433168,112.6628392,64,73,0,98,71.27647269,-36.05965713
Northern ArizonaArizona11-10,11/10/17,"Arizona -37.3, 96-59 (99%)",58.84530782,96.16720448,67,101,331,1,73.47032361,36.87112745
Norfolk St.Auburn11-10,11/10/17,"Auburn -27.0, 97-70 (97%)",70.11770841,97.15627938,74,102,308,41,78.74731596,37.63963584
Wright St.Loyola Chicago11-10,11/10/17,"Loyola Chicago -12.2, 81-68 (84%)",68.30899198,80.52630353,80,84,187,80,72.36047797,42.9539028
Tennessee MartinMarshall11-10,11/10/17,"Marshall -10.1, 89-79 (77%)",79.38228895,89.48394425,91,102,316,206,80.95570868,38.80018352
Nebraska OmahaMontana St.11-10,11/10/17,"Montana St. -3.3, 87-83 (60%)",83.21912441,86.55234164,80,89,245,191,80.35539031,53.50909772
SeattleSaint Louis11-10,11/10/17,"Saint Louis -11.2, 75-64 (84%)",63.67380453,74.86226384,46,62,258,124,70.29632253,34.08576947
LIU BrooklynTulane11-10,11/10/17,"Tulane -10.2, 83-72 (79%)",72.39049421,82.5476035,96,102,284,194,76.55407742,35.26860048
Nicholls St.UT Rio Grande Valley11-10,11/10/17,"UT Rio Grande Valley -3.5, 86-82 (60%)",82.39764714,85.84792554,111,106,264,281,80.33473358,47.01765581
HamptonRider11-10,11/10/17,"Rider -6.3, 78-71 (70%)",71.23941267,77.53663728,75,90,286,259,77.60203038,39.11192007
Northwestern St.Texas11-10,11/10/17,"Texas -25.5, 94-68 (96%)",68.37861148,93.86754942,59,105,268,30,76.63614453,38.57268909
Johnson (FL)Bethune Cookman11-10,11/10/17,Bethune Cookman (100%),37.88813308,101.6095807,66,108,0,337,72.4116478,-51.18593665
Valley ForgeMaryland Eastern Shore11-10,11/10/17,Maryland Eastern Shore (100%),37.60534559,103.2448329,69,95,0,321,72.48449814,-49.52914252
Gardner WebbMiami FL11-10,11/10/17,"Miami FL -22.0, 84-62 (96%)",62.49998197,84.46862025,45,77,211,18,71.58043793,41.3589549
Mount St. Mary'sMarquette11-10,11/10/17,"Marquette -22.8, 90-68 (95%)",67.65304995,90.46674621,59,80,251,33,74.65992736,40.29372283
South AlabamaTexas Tech11-10,11/10/17,"Texas Tech -21.9, 84-62 (96%)",61.59456354,83.54044781,50,75,273,35,71.48841737,35.12444246
Austin PeayVanderbilt11-10,11/10/17,"Vanderbilt -22.4, 89-66 (95%)",66.27583857,88.66841612,54,73,287,59,72.9460594,32.9987591
Texas A&MWest Virginia11-10,11/10/17,"West Virginia -2.1, 76-73 (57%)",73.45762491,75.57655736,88,65,19,10,72.87984597,86.73338657
Clarks SummitLiberty11-10,11/10/17,Liberty (100%),33.26857331,104.8871993,42,87,0,167,68.42320557,-42.61508734
UNC AshevilleRhode Island11-10,11/10/17,"Rhode Island -13.3, 81-68 (86%)",67.93485818,81.27574039,60,84,135,43,72.65731461,48.916296
Missouri St.Western Kentucky11-10,11/10/17,"Missouri St. -0.2, 77-76 (51%)",75.79534643,75.547845,85,80,91,151,70.46196218,64.85736035
Our Lady of the LakeTexas A&M Corpus Chris11-10,11/10/17,Texas A&M Corpus Chris (100%),35.41252526,102.4715311,68,69,0,269,72.27306667,-45.86639509
Louisiana LafayetteMississippi11-10,11/10/17,"Mississippi -12.6, 94-81 (81%)",81.30241133,93.94821103,76,94,104,45,80.22856831,59.22638688
BucknellMonmouth11-10,11/10/17,"Bucknell -3.0, 82-79 (60%)",81.81393865,78.77810715,78,79,76,159,79.08341068,66.76852287
RandallAbilene Christian11-10,11/10/17,Abilene Christian (100%),35.4398436,105.7208766,68,86,0,231,70.81407398,-44.87694299
