player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), pick, drtg,adrtg, dporpag, stops, bpm, obpm, dbpm, gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,,
De'Monte Buckingham,UNC Greensboro,SC,30,72.7,115.7,20.6,59.2,61.35,6.4,19.6,8.9,17,47,60,0.783,68,129,0.527,66,153,0.431,0.8,1.7,21.3,Sr,4-Jun,10,3.00953,114.223,2.2,2022,45310,all,59.2,0.68623872,56,89,12,40,0.6292,0.3,4,4,1,,101.751,99.7837,2.87709,163.738,3.07812,2.65384,0.42428,4.8218,30.2903,4.59852,0.223278,1.6129,4.7097,6.3226,1.129,0.871,0.1613,12.4516,Wing G,10.7202
Nick Sherod,Richmond,A10,37,37.8,94.9,21.1,45.6,46.95,1.9,12.4,4,5,15,20,0.75,20,63,0.317,56,165,0.339,0,1.7,8.8,Sr,4-Jun,5,0.70512,98.8133,2.2,2022,45311,all,50.4,1.09988905,16,31,4,32,0.5161,0.125,0,0,,,104.095,101.237,1.37048,90.511,-2.96516,-0.0611291,-2.90403,-1.60796,15.2162,0.25363,-1.86159,0.2432,1.5946,1.8378,0.2973,0.4324,0,6.027,Wing G,17.4687
Perry Francois,Charlotte,CUSA,18,6.9,69.6,17.6,21.1,29.75,8.9,14.3,6,19.9,5,6,0.833,4,17,0.235,0,2,0,1.3,1.4,31.6,Sr,8-Jun,10,-0.308041,66.7883,5.6,2022,45359,all,,0.60007203,3,7,1,10,0.4286,0.1,0,0,,,107.475,108.535,0.312241,14.6107,-9.95514,-7.55068,-2.40447,-10.9664,4.7778,-8.222,-2.74445,0.3333,0.5556,0.8889,0.1667,0.1111,0.0556,0.7222,Wing F,1.40906
Randy Miller Jr.,North Carolina Central,MEAC,26,70.8,93.4,20.7,41.1,48.25,2.2,6.5,8.6,18.9,85,110,0.773,54,145,0.372,30,96,0.313,0.3,1.1,45.6,Sr,2-Jun,44,0.805765,93.2712,2.2,2022,45477,all,,0.64407386,31,71,22,73,0.4366,0.3014,0,0,,,106.963,113.001,1.4649,110.142,-5.84799,-2.20029,-3.64771,-4.67424,28.6,-1.55942,-3.11482,0.5333,1.5667,2.1,1.2667,0.6333,0.0667,11.1333,Combo G,6.96723
Nolan Taylor,Southeast Missouri St.,OVC,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,7-Jun,31,-0.318695,-6.47436,0,2022,45530,all,,,,,,,,,,,,,117.891,127.896,-0.00183018,0.102769,-5.43876,-2.93896,-2.4998,-6.74158,1,-2.89895,-3.84263,0,0,0,0,0,0,0,PF/C,0
Scott Spencer,Tulane,Amer,22,18.6,80.8,14.1,38.4,39.51,2.7,12.1,2.5,9.5,2,2,1,5,15,0.333,11,41,0.268,2.3,2.1,3.6,Sr,6-Jun,22,-0.32617,75.7748,3.1,2022,45562,all,63.4,0.60008798,3,4,2,11,0.75,0.1818,0,0,,,103.336,101.835,0.8681,39.834,-2.07543,-1.72564,-0.349796,-2.8655,9.9091,-2.41911,-0.446385,0.2273,1.0909,1.3182,0.1364,0.3636,0.1818,2.0455,Stretch 4,10.8621
Algevon Eichelberger,Cleveland St.,Horz,1,0.2,0,29.2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,62.9,0,0,Sr,8-Jun,12,-0.616833,-3.51225,0,2022,45568,all,29.4,0,,,,,,,,,,,87.6308,90.5308,0.255654,0.586745,0.47123,-33.7177,34.1889,-8.75885,2,-16.4782,7.71934,0,0,0,0,0,1,0,C,0
Eron Gordon,Valparaiso,MVC,30,47.5,86.6,12.5,44.4,48.8,1.1,17.8,9.3,24.1,19,24,0.792,20,44,0.455,13,45,0.289,1.9,1.6,27,Sr,3-Jun,10,-0.53635,77.2334,2,2022,45571,all,68.8,1.2,18,31,2,13,0.5806,0.1538,1,1,1,,105.204,104.402,1.51421,101.618,-2.60643,-3.06095,0.454517,-2.94338,19.4375,-2.85311,-0.0902628,0.1875,2.9062,3.0938,1.125,0.5,0.3438,3.1562,Wing G,4.6792
Mitch Lightfoot,Kansas,B12,36,30.2,113.6,17.7,67.7,66.48,9.9,16.4,5.5,22.1,20,36,0.556,73,108,0.676,1,2,0.5,6.5,1.2,32.7,Sr,8-Jun,44,1.40993,119.036,7.2,2022,45620,all,77,0.43333732,47,63,26,45,0.746,0.5778,13,14,0.9286,,94.6427,90.0134,1.56438,92.0895,7.21097,2.81539,4.39558,4.03937,12.1944,0.793807,3.24556,1,1.8333,2.8333,0.3611,0.25,0.7778,4.6944,C,0.261489
Nate Johnson,Xavier,BE,29,59.3,105.7,17.7,52.9,55.63,1.3,9.4,7.5,14.3,42,54,0.778,33,76,0.434,64,168,0.381,1.6,1.5,22.1,Sr,4-Jun,10,2.04655,106.975,2.2,2022,45625,all,,0.88574033,18,34,15,42,0.5294,0.3571,3,3,1,,102.091,98.3349,2.75,127.498,2.05236,2.07398,-0.0216224,2.29277,27.4138,1.82658,0.466191,0.3103,2.3103,2.6207,1.069,0.6897,0.4138,10.3448,Wing G,12.2068
